學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
090315,國立虎尾高中,1,5,5,0,0,5
091308,私立正心高中,0,0,2,0,0,3
091311,私立文生高中,0,1,0,0,0,0
091312,私立巨人高中,1,1,2,0,0,0
091316,私立揚子高中,1,0,0,0,0,1
091318,財團法人義峰高中,6,8,10,0,0,12
094301,縣立斗南高中,0,1,2,0,0,1
094307,縣立麥寮高中,11,8,6,0,0,4
094326,縣立蔦松藝術高中,1,0,0,0,0,0
100301,國立東石高中,6,4,6,0,0,7
100302,國立新港藝術高中,1,0,1,0,0,1
101304,私立協同高中,1,1,2,0,0,2
104319,縣立竹崎高中,1,3,1,0,0,3
104326,縣立永慶高中,1,2,0,0,0,2
110302,國立新豐高中,4,2,2,0,0,0
110308,國立臺南大學附中,4,11,4,0,0,4
110311,國立北門高中,5,2,4,0,0,3
110312,國立新營高中,1,0,1,0,0,2
110314,國立後壁高中,1,4,1,0,0,1
110315,國立善化高中,5,2,6,0,0,7
110317,國立新化高中,1,2,0,0,0,1
110328,國立南科國際實驗高中,0,0,0,0,0,1
111313,私立南光高中,2,0,1,0,0,0
111320,私立港明高中,1,0,2,0,0,1
111321,臺南市興國高中,0,1,2,0,0,1
111322,私立明達高中,0,1,1,0,0,0
111323,私立黎明高中,0,1,2,0,0,0
111326,私立新榮高中,0,0,1,0,0,4
114306,市立大灣高中,2,2,1,0,0,1
114307,市立永仁高中,4,2,5,0,0,0
120303,國立鳳山高中,13,14,13,0,0,6
120304,國立岡山高中,4,6,6,0,0,2
120311,國立旗美高中,13,21,14,0,0,8
120319,國立鳳新高中,11,5,12,0,4,9
121306,財團法人新光高中,3,1,8,0,0,4
121307,財團法人普門中學,11,19,10,0,0,7
121318,私立正義高中,0,0,1,0,0,0
124302,市立文山高中,3,6,4,0,0,4
124311,市立林園高中,2,1,0,0,0,3
124313,市立仁武高中,3,1,3,0,0,2
124322,市立路竹高中,0,1,3,0,0,2
124333,市立六龜高中,13,1,6,0,0,6
124340,市立福誠高中,5,2,4,0,0,3
130302,國立屏東女中,38,25,32,0,0,36
130305,國立屏東高中,43,43,55,0,0,34
130306,國立潮州高中,41,44,62,0,0,60
130322,國立屏北高中,82,68,46,0,0,57
131307,財團法人屏榮高中,63,51,52,0,0,35
131308,私立陸興高中,6,9,12,0,0,15
131311,私立美和高中,24,19,20,0,0,22
134304,縣立大同高中,17,15,16,0,0,12
134321,縣立枋寮高中,27,15,19,0,0,20
134324,縣立東港高中,2,2,4,0,0,3
134334,縣立來義高中,62,48,44,0,0,36
140301,國立臺東大學附屬體育高中,60,52,56,0,0,36
140302,國立臺東女中,60,66,67,0,0,68
140303,國立臺東高中,98,95,74,0,0,65
141301,臺東縣均一高中,7,11,6,0,0,19
141307,私立育仁高中,4,10,8,0,0,15
144322,縣立蘭嶼高中,7,13,18,0,0,22
150302,國立花蓮女中,69,75,65,0,0,59
150303,國立花蓮高中,91,70,89,0,0,60
150309,國立玉里高中,101,79,70,0,0,74
151306,私立海星高中,95,91,111,0,0,108
151307,私立四維高中,123,147,159,0,0,151
151312,財團法人慈濟大學附中,9,8,12,0,0,8
154301,花蓮縣立體育高中,46,39,35,0,0,35
154399,縣立南平中學,3,2,0,0,0,0
160302,國立馬公高中,1,4,0,0,0,0
170301,國立基隆女中,2,7,8,0,0,5
170302,國立基隆高中,1,5,2,0,0,1
171306,私立二信高中,8,5,4,0,0,8
171308,輔大聖心高中,2,7,2,0,0,8
173304,市立中山高中,1,1,3,0,0,2
173306,市立安樂高中,2,8,2,0,0,0
173307,市立暖暖高中,3,0,2,0,0,1
173314,市立八斗高中,29,12,11,0,0,11
180301,國立竹科實驗高級中等學校,3,4,4,0,0,0
180302,國立新竹女中,14,9,12,0,0,13
180309,國立新竹高中,14,10,14,0,0,10
181305,私立光復高中,50,43,42,0,2,26
181306,私立曙光女中,2,3,4,0,0,6
181307,私立磐石高中,2,2,3,0,0,4
181308,私立世界高中,2,4,8,0,0,4
183306,市立成德高中,14,9,13,0,0,10
183307,市立香山高中,8,5,7,0,0,4
183313,市立建功高中,6,6,7,0,0,6
191301,私立東大附中,2,1,1,0,0,1
191302,私立葳格高中,2,2,3,0,0,1
191305,私立新民高中,44,36,14,0,0,31
191308,私立宜寧高中,4,10,10,0,0,4
191309,私立明德高中,18,14,23,0,0,15
191311,私立衛道高中,0,3,2,0,0,4
191313,私立曉明女中,3,4,2,0,0,1
191314,私立嶺東高中,13,17,23,0,0,11
193301,市立臺中女中,14,14,17,0,0,14
193302,市立臺中一中,18,18,21,0,10,20
193303,市立忠明高中,7,9,7,0,0,5
193313,市立西苑高中,6,11,8,0,0,8
193315,市立東山高中,9,15,12,0,0,12
193316,市立惠文高中,11,9,15,0,0,13
194303,市立臺中二中,15,14,14,0,0,8
194315,市立文華高中,17,15,16,0,0,13
200302,國立嘉義女中,3,4,10,0,0,2
200303,國立嘉義高中,5,7,6,0,0,7
201304,私立興華高中,0,4,0,0,0,0
201309,私立仁義高中,0,0,4,0,0,10
201310,私立嘉華高中,3,3,0,0,0,0
201312,私立輔仁高中,10,11,5,0,0,5
201313,私立宏仁女中,2,5,3,0,0,6
201314,私立立仁高中,6,4,8,0,0,11
210303,國立臺南二中,4,2,8,0,0,3
210305,國立臺南一中,12,6,7,0,0,5
210306,國立臺南女中,6,10,4,0,0,4
210309,國立家齊高中,4,6,7,0,0,8
211301,私立長榮高中,1,2,6,0,0,2
211302,私立長榮女中,4,1,2,0,0,2
211304,財團法人聖功女中,0,1,0,0,0,0
211310,臺南市光華高中,4,4,4,0,0,0
211314,私立六信高中,4,2,2,0,0,3
211315,私立瀛海高中,1,0,0,0,0,0
211317,臺南市崑山高中,0,2,2,0,0,2
211318,私立德光高中,1,1,1,0,0,1
211320,財團法人慈濟高中,0,0,0,0,0,1
213303,市立南寧高中,1,2,0,0,0,0
213316,市立土城高中,0,0,1,0,0,1
313301,市立西松高中,3,2,2,0,0,0
313302,市立中崙高中,3,2,2,0,0,0
321399,臺北市私立協和祐德高級中學,1,3,1,0,0,1
323301,市立松山高中,15,8,10,0,0,7
323302,市立永春高中,2,1,1,0,0,2
330301,國立師大附中,18,19,18,0,0,16
331301,私立延平中學,0,0,0,0,0,1
331302,私立金甌女中,3,3,6,0,0,4
333301,市立和平高中,5,9,5,0,0,2
341302,私立大同高中,2,1,2,0,0,3
343301,市立中山女中,10,15,9,0,0,3
343302,市立大同高中,6,5,5,0,0,6
343303,市立大直高中,0,4,3,0,0,2
351301,私立強恕中學,18,27,17,0,0,15
353301,市立建國中學,23,21,16,0,0,13
353302,市立成功中學,10,9,3,0,0,5
353303,市立北一女中,20,17,17,0,0,18
361301,臺北市靜修高中,1,2,1,0,0,0
363301,市立明倫高中,8,8,5,0,0,3
363302,市立成淵高中,7,2,3,0,0,6
373301,市立華江高中,10,13,4,0,0,2
373302,市立大理高中,6,5,5,0,0,4
380301,國立政大附中,2,1,0,0,0,0
381301,私立東山高中,0,0,0,0,0,1
381302,私立滬江高中,4,5,5,0,0,7
381303,私立大誠高中,9,12,10,0,0,5
381304,私立再興中學,2,2,0,0,0,2
381305,私立景文高中,3,5,1,0,0,1
383301,市立景美女中,9,9,12,0,0,12
383302,市立萬芳高中,8,6,3,0,0,3
393301,市立南港高中,7,7,3,0,0,2
393302,市立育成高中,6,4,3,0,0,1
401301,私立文德女中,0,0,0,0,0,1
401302,私立方濟中學,0,0,2,0,0,0
401303,私立達人女中,0,0,0,0,0,1
403301,市立內湖高中,12,13,11,0,0,8
403302,市立麗山高中,2,2,1,0,0,4
403303,市立南湖高中,7,10,10,0,0,10
411301,私立泰北高中,8,2,2,0,0,3
411302,私立衛理女中,0,0,1,0,0,0
411303,私立華興中學,1,0,0,0,0,0
413301,市立陽明高中,3,7,6,0,0,6
413302,市立百齡高中,1,3,1,0,0,2
421301,私立薇閣高中,0,0,3,0,0,0
421302,臺北市幼華高中,1,1,0,0,0,1
423301,市立復興高中,4,6,6,0,0,3
423302,市立中正高中,8,5,7,0,1,4
521301,天主教明誠高中,0,0,0,0,0,1
521303,私立大榮高中,5,6,4,0,0,6
523301,市立鼓山高中,6,2,1,0,0,5
533301,市立左營高中,10,7,5,0,0,6
533302,市立新莊高中,7,9,10,0,0,5
540301,國立中山大學附屬國光高中,4,5,4,0,0,2
543301,市立中山高中,8,2,3,0,0,8
543302,市立楠梓高中,5,5,5,0,0,4
551301,私立立志高中,8,6,11,0,0,16
553301,市立高雄中學,21,18,12,0,0,16
553302,市立三民高中,8,12,9,0,0,6
563301,市立新興高中,4,2,1,0,0,1
573301,市立高雄女中,19,16,18,0,0,16
580301,國立高師大附中,9,9,8,0,0,8
581301,私立復華高中,2,5,1,0,0,6
581302,天主教道明中學,0,3,11,0,0,1
583301,市立中正高中,5,8,4,0,0,3
593301,市立前鎮高中,3,9,2,0,0,9
593302,市立瑞祥高中,1,6,4,0,0,1
613301,市立小港高中,4,5,11,0,0,5
710301,國立金門高中,2,3,2,0,0,1
720301,國立馬祖高中,0,2,1,0,0,2
011405,私立樹人家商,57,37,30,0,0,42
011407,私立復興商工,20,14,11,0,0,8
011408,私立南強工商,25,13,16,0,0,20
011413,私立穀保家商,27,24,18,0,0,25
011419,私立開明工商,0,0,9,0,0,5
011420,私立智光商工,10,11,4,0,0,6
011421,私立清傳高商,0,1,0,0,0,0
011426,私立能仁家商,21,28,30,0,0,32
011427,私立豫章工商,8,6,13,0,2,6
011431,私立莊敬工家,100,90,72,0,23,59
011432,私立中華商海,11,3,0,0,0,6
013402,市立瑞芳高工,15,14,7,0,0,9
013430,市立三重商工,15,13,11,0,0,8
013433,市立新北高工,12,19,15,0,0,11
013434,市立淡水商工,17,14,13,0,0,7
014439,市立鶯歌工商,19,25,15,0,0,17
014468,市立樟樹國際實中,3,7,1,0,0,1
020403,國立宜蘭高商,17,14,18,0,0,11
020404,國立羅東高商,43,23,19,0,2,26
020405,國立蘇澳海事,17,12,9,0,0,9
020407,國立羅東高工,25,29,17,0,0,17
020409,國立頭城家商,9,11,12,0,0,8
030403,國立北科大附屬桃園農工,40,57,31,0,0,42
031414,私立成功工商,31,19,24,0,0,11
031415,私立方曙商工,0,6,7,0,0,2
031421,私立永平工商,142,139,99,0,0,116
033407,市立中壢高商,24,22,15,0,0,17
033408,市立中壢家商,16,13,17,0,0,13
041401,私立內思高工,21,8,14,0,0,2
050401,國立大湖農工,13,15,13,0,0,13
050404,國立苗栗農工,18,25,17,0,3,7
050407,國立苗栗高商,8,6,10,0,0,12
051408,私立中興商工,17,21,13,0,0,15
051411,私立育民工家,6,10,15,0,0,11
051413,私立龍德家商,0,0,6,0,0,4
063401,市立豐原高商,23,16,15,0,0,17
063402,市立大甲高工,10,11,9,0,0,9
063404,市立東勢高工,17,16,6,0,0,6
063407,市立沙鹿高工,16,17,12,0,0,11
063408,市立霧峰農工,9,8,10,0,0,3
064406,市立神岡高工,2,0,0,0,0,0
070401,國立彰師附工,10,5,3,0,0,6
070402,國立永靖高工,3,0,0,0,0,1
070403,國立二林工商,3,2,0,0,0,2
070405,國立秀水高工,7,6,3,0,0,6
070406,國立彰化高商,7,7,5,0,0,5
070408,國立員林農工,4,5,7,0,0,3
070409,國立員林崇實高工,2,2,1,0,0,2
070410,國立員林家商,9,5,7,0,0,3
070415,國立北斗家商,9,2,6,0,0,5
071413,私立大慶商工,6,3,11,0,0,4
071414,私立達德商工,5,6,9,0,0,10
080401,國立仁愛高農,35,44,31,0,1,29
080403,國立埔里高工,38,39,25,0,0,27
080404,國立南投高商,4,3,2,0,0,4
080406,國立草屯商工,10,12,6,0,0,5
080410,國立水里商工,30,34,22,0,1,20
081409,南投縣同德高中,18,13,13,0,0,26
090401,國立虎尾農工,3,3,4,0,0,1
090402,國立西螺農工,9,3,8,0,0,4
090403,國立斗六家商,5,5,2,0,0,5
090404,國立北港農工,1,2,1,0,0,0
090413,國立土庫商工,1,1,2,0,0,3
091410,私立大成商工,4,6,2,0,0,3
091414,私立大德工商,7,2,9,0,0,3
100402,國立民雄農工,3,3,1,0,0,1
101405,私立協志工商,0,0,6,0,0,5
101406,私立萬能工商,5,6,4,0,0,2
110401,國立新化高工,4,5,7,0,0,3
110403,國立白河商工,3,5,7,0,0,3
110404,國立北門農工,1,1,1,0,0,4
110405,國立曾文家商,3,3,4,0,0,3
110406,國立新營高工,0,3,4,0,0,1
110407,國立玉井工商,0,2,3,0,0,2
110409,國立臺南高工,5,8,11,0,1,4
110410,國立曾文農工,5,1,1,0,0,2
111419,私立陽明工商,3,6,3,0,0,3
111427,私立育德工家,4,2,0,0,0,3
120401,國立旗山農工,12,12,10,0,2,3
120402,國立岡山農工,15,12,13,0,0,7
120409,國立鳳山商工,13,12,13,0,0,5
121405,私立中山工商,88,67,65,0,0,73
121410,私立旗美商工,3,7,4,0,0,2
121413,私立高英工商,34,47,56,0,0,49
121415,私立華德工家,3,1,0,0,1,1
121417,私立高苑工商,21,24,30,0,0,23
130401,國立內埔農工,50,60,52,0,1,24
130403,國立屏東高工,38,35,32,0,0,29
130404,國立佳冬高農,18,10,6,0,0,14
130410,國立東港海事,3,5,3,0,2,1
130417,國立恆春工商,31,38,21,0,0,19
131409,私立民生家商,44,65,53,0,0,47
131418,私立日新工商,9,8,5,0,0,20
140404,國立關山工商,43,34,38,0,0,36
140405,國立臺東高商,139,128,114,0,22,102
140408,國立成功商水,28,40,18,0,0,35
141406,私立公東高工,105,107,96,0,0,56
150401,國立花蓮高農,149,106,87,0,1,105
150404,國立花蓮高工,141,112,100,0,0,113
150405,國立花蓮高商,101,91,73,0,2,69
150411,國立光復商工,59,50,63,0,0,29
151410,花蓮縣上騰工商,87,56,63,0,0,65
160401,國立澎湖海事水產,3,3,1,0,0,2
170403,國立海洋大學附屬基隆海事,21,15,14,0,0,8
170404,國立基隆商工,26,23,7,0,0,13
171405,私立光隆家商,9,3,7,0,0,5
171407,私立培德工家,6,1,3,0,1,0
180403,國立新竹高商,12,14,16,0,0,15
180404,國立新竹高工,9,11,6,0,0,5
190406,國立興大附農,23,25,26,0,0,23
191412,財團法人光華高工,2,1,0,0,0,2
193404,市立臺中家商,21,14,16,0,2,14
193407,市立臺中高工,25,25,22,0,0,17
200401,國立華南高商,3,7,4,0,0,4
200405,國立嘉義高工,13,12,10,0,1,6
200406,國立嘉義高商,9,6,5,0,0,1
200407,國立嘉義家職,5,2,5,0,0,1
201408,私立東吳工家,13,14,22,0,0,9
210408,國立臺南高商,5,13,12,0,0,7
210416,國立臺南海事,1,1,0,0,0,1
211407,私立南英商工,19,18,9,0,0,11
211412,私立亞洲餐旅,2,1,2,0,0,3
211419,私立慈幼工商,4,1,4,0,0,5
311401,臺北市普林思頓高中,15,9,24,0,0,23
323401,市立松山家商,8,9,12,0,0,6
323402,市立松山工農,9,11,10,0,0,7
331402,私立東方工商,1,0,4,0,0,6
331403,私立喬治工商,10,5,5,0,0,5
331404,私立開平餐飲,3,5,6,0,0,2
333401,市立大安高工,18,15,17,0,0,13
341402,私立稻江護家,11,8,10,0,0,3
351402,臺北市開南高中,4,5,3,0,0,3
361401,私立稻江高商,11,18,21,0,0,0
383401,市立木柵高工,3,3,7,0,0,3
393401,市立南港高工,21,18,15,0,0,7
403401,市立內湖高工,6,5,6,0,0,4
411401,私立華岡藝校,23,20,10,0,0,8
413401,市立士林高商,18,14,16,0,0,13
421404,私立惇敘工商,3,5,1,0,0,1
521401,私立中華藝校,24,7,13,0,0,14
533401,市立海青工商,24,22,14,0,0,11
533402,市立三民家商,18,16,16,0,0,12
551402,私立樹德家商,46,61,36,0,0,45
553401,市立高雄高工,16,21,15,0,0,15
563401,市立高雄高商,11,16,9,0,0,13
581401,私立國際商工,0,0,1,0,0,1
581402,私立三信家商,20,16,15,0,0,10
593401,市立中正高工,22,9,17,0,0,7
610405,國立高餐大附屬餐旅中學,3,1,3,0,0,0
710401,國立金門農工,2,4,2,0,1,6
351B09,私立南華高中進修學校,5,13,13,0,0,11
361B09,私立志仁中學進修學校,9,15,22,0,0,21
011C71,私立光華高商進修學校,4,8,1,0,0,8
210C01,國立成功大學附設高工進修學校,0,3,1,0,0,1
070F01,國立和美實驗學校,1,2,1,0,0,2
543F01,市立楠梓特殊學校,0,1,0,0,0,0
151G91,私立正德高中進修學校,0,2,0,0,0,0
04C301,誠正中學,10,11,4,0,0,0
07C301,勵志中學,17,9,0,0,0,0
